,Date,Values
415,2020-01-18,-6.76
416,2020-01-18,-6.76
417,2020-01-18,-6.76
418,2020-01-18,-6.76
419,2020-01-18,-6.76
420,2020-01-18,-6.76
421,2020-01-18,-6.76
422,2020-01-18,-6.76
423,2020-01-18,-6.76
424,2020-01-18,-6.76
425,2020-01-18,-6.76
426,2020-01-18,-6.76
427,2020-01-18,-6.76
428,2020-01-18,-6.76
429,2020-01-18,-6.76
430,2020-01-18,-6.76
431,2020-01-19,-6.76
432,2020-01-19,-6.76
433,2020-01-19,-6.76
434,2020-01-19,-6.76
435,2020-01-19,-6.76
436,2020-01-19,-6.76
437,2020-01-19,-6.76
438,2020-01-19,-6.76
439,2020-01-19,-6.76
440,2020-01-19,-6.76
441,2020-01-19,-6.76
442,2020-01-19,-6.76
443,2020-01-19,-6.76
444,2020-01-19,-6.76
445,2020-01-19,-6.76
446,2020-01-19,-6.76
447,2020-01-19,-6.76
448,2020-01-19,-6.76
449,2020-01-19,-6.76
450,2020-01-19,-6.77
451,2020-01-19,-6.78
452,2020-01-19,-6.78
453,2020-01-19,-6.78
454,2020-01-19,-6.78
455,2020-01-20,-6.78
456,2020-01-20,-6.78
457,2020-01-20,-6.78
458,2020-01-20,-6.78
459,2020-01-20,-6.77
460,2020-01-20,-6.77
461,2020-01-20,-6.77
462,2020-01-20,-6.77
463,2020-01-20,-6.77
464,2020-01-20,-6.77
465,2020-01-20,-6.77
466,2020-01-20,-6.77
467,2020-01-20,-6.77
468,2020-01-20,-6.77
469,2020-01-20,-6.77
470,2020-01-20,-6.77
471,2020-01-20,-6.77
472,2020-01-20,-6.77
473,2020-01-20,-6.77
474,2020-01-20,-6.77
475,2020-01-20,-6.77
476,2020-01-20,-6.77
477,2020-01-20,-6.77
478,2020-01-20,-6.77
479,2020-01-21,-6.77
480,2020-01-21,-6.77
481,2020-01-21,-6.77
482,2020-01-21,-6.77
483,2020-01-21,-6.77
484,2020-01-21,-6.77
485,2020-01-21,-6.77
486,2020-01-21,-6.77
487,2020-01-21,-6.77
488,2020-01-21,-6.77
489,2020-01-21,-6.77
490,2020-01-21,-6.77
491,2020-01-21,-6.77
492,2020-01-21,-6.77
493,2020-01-21,-6.77
494,2020-01-21,-6.77
495,2020-01-21,-6.77
496,2020-01-21,-6.77
497,2020-01-21,-6.77
498,2020-01-21,-6.77
499,2020-01-21,-6.77
500,2020-01-21,-6.77
501,2020-01-21,-6.77
502,2020-01-21,-6.77
503,2020-01-22,-6.77
504,2020-01-22,-6.77
505,2020-01-22,-6.77
506,2020-01-22,-6.77
507,2020-01-22,-6.77
508,2020-01-22,-6.77
509,2020-01-22,-6.77
510,2020-01-22,-6.77
511,2020-01-22,-6.77
512,2020-01-22,-6.77
513,2020-01-22,-6.77
514,2020-01-22,-6.77
515,2020-01-22,-6.77
516,2020-01-22,-6.77
517,2020-01-22,-6.77
518,2020-01-22,-6.77
519,2020-01-22,-6.77
520,2020-01-22,-6.77
521,2020-01-22,-6.77
522,2020-01-22,-6.77
523,2020-01-22,-6.77
524,2020-01-22,-6.77
525,2020-01-22,-6.77
526,2020-01-22,-6.77
527,2020-01-23,-6.77
528,2020-01-23,-6.77
529,2020-01-23,-6.77
530,2020-01-23,-6.77
531,2020-01-23,-6.77
532,2020-01-23,-6.77
533,2020-01-23,-6.77
534,2020-01-23,-6.77
535,2020-01-23,-6.77
536,2020-01-23,-6.77
537,2020-01-23,-6.77
538,2020-01-23,-6.76
539,2020-01-23,-6.76
540,2020-01-23,-6.76
541,2020-01-23,-6.76
542,2020-01-23,-6.76
543,2020-01-23,-6.76
544,2020-01-23,-6.76
545,2020-01-23,-6.77
546,2020-01-23,-6.77
547,2020-01-23,-6.77
548,2020-01-23,-6.77
549,2020-01-23,-6.77
550,2020-01-23,-6.77
551,2020-01-24,-6.77
552,2020-01-24,-6.77
553,2020-01-24,-6.77
554,2020-01-24,-6.77
555,2020-01-24,-6.77
556,2020-01-24,-6.77
557,2020-01-24,-6.77
558,2020-01-24,-6.77
559,2020-01-24,-6.77
560,2020-01-24,-6.78
561,2020-01-24,-6.78
562,2020-01-24,-6.78
563,2020-01-24,-6.78
564,2020-01-24,-6.78
565,2020-01-24,-6.78
566,2020-01-24,-6.78
567,2020-01-24,-6.78
568,2020-01-24,-6.78
569,2020-01-24,-6.78
570,2020-01-24,-6.78
571,2020-01-24,-6.78
572,2020-01-24,-6.79
573,2020-01-24,-6.79
574,2020-01-24,-6.79
575,2020-01-25,-6.78
576,2020-01-25,-6.78
577,2020-01-25,-6.78
578,2020-01-25,-6.78
579,2020-01-25,-6.78
580,2020-01-25,-6.78
581,2020-01-25,-6.78
582,2020-01-25,-6.78
583,2020-01-25,-6.78
584,2020-01-25,-6.78
585,2020-01-25,-6.78
586,2020-01-25,-6.78
587,2020-01-25,-6.78
588,2020-01-25,-6.78
589,2020-01-25,-6.78
590,2020-01-25,-6.78
591,2020-01-25,-6.78
592,2020-01-25,-6.78
593,2020-01-25,-6.78
594,2020-01-25,-6.78
595,2020-01-25,-6.78
596,2020-01-25,-6.78
597,2020-01-25,-6.78
598,2020-01-25,-6.78
599,2020-01-26,-6.78
600,2020-01-26,-6.78
601,2020-01-26,-6.78
602,2020-01-26,-6.78
603,2020-01-26,-6.78
604,2020-01-26,-6.78
605,2020-01-26,-6.78
606,2020-01-26,-6.78
607,2020-01-26,-6.78
608,2020-01-26,-6.78
609,2020-01-26,-6.78
610,2020-01-26,-6.78
611,2020-01-26,-6.78
612,2020-01-26,-6.78
613,2020-01-26,-6.78
614,2020-01-26,-6.78
615,2020-01-26,-6.78
616,2020-01-26,-6.78
617,2020-01-26,-6.78
618,2020-01-26,-6.78
619,2020-01-26,-6.78
620,2020-01-26,-6.78
621,2020-01-26,-6.78
622,2020-01-26,-6.78
623,2020-01-27,-6.78
624,2020-01-27,-6.78
625,2020-01-27,-6.78
626,2020-01-27,-6.78
627,2020-01-27,-6.78
628,2020-01-27,-6.78
629,2020-01-27,-6.78
630,2020-01-27,-6.78
631,2020-01-27,-6.78
632,2020-01-27,-6.78
633,2020-01-27,-6.78
634,2020-01-27,-6.78
635,2020-01-27,-6.78
636,2020-01-27,-6.78
637,2020-01-27,-6.78
638,2020-01-27,-6.78
639,2020-01-27,-6.78
640,2020-01-27,-6.78
641,2020-01-27,-6.78
642,2020-01-27,-6.78
643,2020-01-27,-6.78
644,2020-01-27,-6.78
645,2020-01-27,-6.78
646,2020-01-27,-6.78
647,2020-01-28,-6.78
